Date,Open,High,Low,Close
2022-05-30,4352.0,4380.0,4100.0,4220.0
2022-05-31,4187.0,4199.0,4043.0,4061.5
2022-06-01,4050.0,4125.0,4003.0,4074.0
2022-06-02,4079.5,4085.5,3993.0,4035.0
2022-06-03,4046.0,4070.0,3930.0,3980.5
2022-06-06,3985.0,4028.0,3927.0,3940.0
2022-06-07,3948.0,3970.0,3816.0,3959.5
2022-06-08,3967.0,4050.0,3864.0,3945.5
2022-06-09,3954.0,3956.5,3865.0,3876.0
2022-06-10,3869.0,3903.0,3830.0,3898.0
2022-06-14,3886.0,3927.5,3846.0,3891.5
2022-06-15,3880.0,4125.0,3880.0,4115.0
2022-06-16,4117.0,4300.0,4105.0,4261.5
2022-06-17,4289.5,4326.0,4137.0,4182.0
2022-06-20,4202.0,4245.0,4128.0,4209.5
2022-06-21,4232.0,4279.5,4031.5,4045.0
2022-06-22,3990.0,4179.5,3932.5,4139.0
2022-06-23,4141.0,4207.0,4076.5,4150.0
2022-06-24,4145.0,4160.0,4044.5,4100.0
2022-06-27,4100.5,4120.0,4056.0,4100.0
2022-06-28,4109.0,4109.0,3983.0,3989.5
2022-06-29,3982.0,4078.0,3920.5,4015.0
2022-06-30,3999.5,4056.5,3865.0,3905.0
2022-07-01,3915.0,4002.5,3876.0,3944.0
2022-07-04,3946.0,4095.0,3944.0,3949.5
2022-07-05,3960.0,4048.0,3905.0,4015.0
2022-07-06,4000.0,4150.0,3945.0,3962.0
2022-07-07,3965.0,4010.0,3940.0,3956.0
2022-07-08,3957.0,3980.0,3902.5,3911.0
2022-07-11,3901.0,3920.0,3802.5,3848.5
2022-07-12,3829.0,3846.0,3713.0,3752.0
2022-07-13,3756.5,3767.0,3619.0,3645.5
2022-07-14,3645.0,3710.0,3551.0,3608.0
2022-07-15,3632.0,3710.0,3580.0,3709.0
2022-07-18,3721.5,3777.0,3613.0,3645.0
2022-07-19,3647.0,3654.5,3567.0,3600.0
2022-07-20,3601.5,3664.0,3556.5,3580.0
2022-07-21,3577.0,3577.5,3482.5,3539.5
2022-07-22,3553.0,3688.0,3551.0,3688.0
2022-07-25,3672.5,3709.5,3637.0,3669.0
2022-07-26,3694.0,3825.0,3675.5,3825.0
2022-07-27,3837.5,3878.0,3810.0,3847.5
2022-07-28,3870.0,3885.0,3770.0,3831.0
2022-07-29,3830.0,3880.0,3809.5,3877.0
2022-08-01,3883.0,4030.0,3825.5,3931.0
2022-08-02,3930.5,3965.5,3795.0,3823.0
2022-08-03,3823.0,3855.0,3784.0,3799.0
2022-08-04,3799.0,3816.0,3712.0,3720.0
2022-08-05,3722.0,3746.0,3659.5,3679.5
2022-08-08,3780.0,3819.0,3720.0,3720.0
2022-08-09,3721.0,3895.0,3701.5,3895.0
2022-08-10,3895.5,3910.0,3825.0,3890.0
2022-08-11,3895.5,3963.0,3875.0,3925.0
2022-08-12,3936.0,3979.0,3901.0,3940.5
2022-08-15,3942.0,4005.0,3904.5,3959.0
2022-08-16,3976.5,4025.0,3936.0,4018.0
2022-08-17,4022.0,4044.0,3907.0,3907.0
2022-08-18,3907.0,3942.0,3878.0,3920.0
2022-08-19,3935.5,3974.0,3894.0,3972.0
2022-08-22,3968.0,4028.5,3944.5,4017.0
2022-08-23,4023.0,4099.0,4016.0,4098.0
2022-08-24,4104.0,4128.0,4066.0,4117.0
2022-08-25,4122.5,4143.5,4047.0,4055.0
2022-08-26,4060.0,4115.0,4046.5,4115.0
2022-08-29,4110.5,4207.0,4088.5,4186.0
2022-08-30,4197.5,4220.0,4120.0,4140.0
2022-08-31,4290.0,4300.0,4161.5,4270.0
2022-09-01,4250.5,4773.0,4221.0,4722.0
2022-09-02,4661.0,4714.5,4556.0,4595.0
2022-09-05,4620.0,4690.0,4483.0,4658.0
2022-09-06,4660.0,4666.5,4410.5,4545.0
2022-09-07,4542.0,4542.0,4420.0,4420.0
2022-09-08,4400.0,4432.5,4376.0,4410.0
2022-09-09,4429.5,4500.0,4401.5,4470.0
2022-09-12,4460.0,4591.5,4426.5,4560.0
2022-09-13,4570.0,4588.5,4510.0,4542.5
2022-09-14,4532.0,4548.0,4403.5,4472.0
2022-09-15,4470.5,4558.0,4436.0,4530.0
2022-09-16,4537.5,4580.0,4475.0,4519.0
2022-09-19,4520.0,4548.0,4445.0,4496.0
2022-09-20,4477.0,4494.0,3830.0,4055.0
2022-09-21,3622.5,4044.0,3622.5,3955.0
2022-09-22,3951.5,4095.5,3951.5,4011.0
2022-09-23,4014.0,4037.0,3875.0,3948.5
2022-09-26,3856.0,3882.0,3605.5,3708.0
2022-09-27,3786.5,3924.0,3715.0,3865.0
2022-09-28,3839.5,3967.0,3806.5,3907.5
2022-09-29,3942.0,3958.0,3809.0,3882.5
2022-09-30,3897.5,4088.0,3750.0,3965.0
2022-10-03,3980.0,4092.0,3912.5,4077.0
2022-10-04,4098.0,4140.0,3961.5,4094.0
2022-10-05,4086.0,4189.0,4000.0,4102.5
2022-10-06,4116.0,4158.0,4010.0,4041.0
2022-10-07,4024.0,4030.0,3850.0,3875.0
2022-10-10,3778.0,4069.0,3757.0,4035.0
2022-10-11,4040.0,4188.0,4012.5,4170.0
2022-10-12,4184.0,4280.0,4135.0,4149.0
2022-10-13,4150.0,4261.5,4118.0,4185.5
2022-10-14,4199.0,4203.0,4090.0,4139.0
2022-10-17,4150.0,4220.0,4113.0,4212.5
2022-10-18,4250.0,4359.0,4207.0,4240.0
2022-10-19,4211.0,4277.0,4106.5,4204.5
2022-10-20,4215.0,4400.0,4180.5,4380.5
2022-10-21,4399.0,4462.0,4350.5,4433.0
2022-10-24,4474.0,4491.0,4385.5,4439.5
2022-10-25,4465.0,4579.5,4436.0,4569.5
2022-10-26,4574.0,4624.0,4512.5,4613.5
2022-10-27,4623.5,4746.5,4592.0,4724.0
2022-10-28,4712.0,4800.0,4516.0,4700.5
2022-10-31,4730.0,4765.0,4659.0,4695.5
2022-11-01,4725.0,4729.5,4660.0,4700.0
2022-11-02,4710.0,4788.0,4626.5,4670.0
2022-11-03,4671.0,4687.0,4620.0,4687.0
2022-11-07,4715.0,4732.0,4695.0,4723.5
2022-11-08,4723.5,4725.0,4688.0,4697.5
2022-11-09,4697.5,4713.0,4600.0,4632.0
2022-11-10,4633.5,4694.5,4625.5,4681.0
2022-11-11,4690.0,4694.0,4648.5,4670.0
2022-11-14,4681.0,4684.5,4654.0,4658.5
2022-11-15,4660.0,4676.0,4427.0,4565.0
2022-11-16,4596.0,4670.0,4576.5,4661.5
2022-11-17,4662.0,4666.0,4602.0,4621.0
2022-11-18,4583.5,4641.0,4583.5,4623.0
2022-11-21,4625.0,4625.0,4555.0,4605.5
2022-11-22,4607.5,4646.5,4581.0,4618.0
2022-11-23,4625.0,4719.0,4610.0,4679.0
2022-11-24,4680.0,4707.0,4653.0,4664.0
2022-11-25,4665.0,4678.5,4635.0,4669.0
2022-11-28,4646.5,4657.0,4590.0,4624.0
2022-11-29,4631.5,4648.0,4595.0,4602.0
2022-11-30,4604.5,4618.0,4584.0,4614.5
2022-12-01,4618.0,4623.5,4572.5,4599.5
2022-12-02,4590.0,4598.0,4574.0,4577.5
2022-12-05,4589.5,4649.0,4575.0,4619.0
2022-12-06,4632.5,4633.0,4586.0,4603.5
2022-12-07,4611.0,4612.0,4580.0,4592.5
2022-12-08,4600.0,4602.0,4565.0,4578.0
2022-12-09,4583.5,4586.0,4570.0,4583.0
2022-12-12,4593.0,4607.0,4575.0,4583.5
2022-12-13,4595.0,4595.0,4560.0,4577.5
2022-12-14,4579.0,4604.0,4560.0,4590.5
2022-12-15,4590.5,4599.5,4511.0,4521.0
2022-12-16,4525.0,4590.0,4501.0,4580.0
2022-12-19,4585.0,4625.0,4530.5,4625.0
2022-12-20,4146.0,4146.0,3883.5,4076.0
2022-12-21,4085.0,4095.0,3997.0,4040.5
2022-12-22,4050.0,4058.5,4017.0,4027.5
2022-12-23,4022.0,4024.5,3985.0,4010.5
2022-12-26,4014.0,4047.0,4000.0,4010.0
2022-12-27,4020.0,4035.0,4011.0,4028.5
2022-12-28,4033.0,4040.0,4010.0,4015.5
2022-12-29,4019.0,4035.0,4015.5,4022.0
2022-12-30,4029.5,4088.0,4022.5,4069.5
2023-01-03,4082.0,4139.0,4075.5,4123.5
2023-01-04,4124.0,4165.5,4090.0,4116.0
2023-01-05,4121.0,4127.0,4081.5,4087.0
2023-01-06,4088.0,4118.0,4085.0,4089.0
2023-01-09,4105.0,4123.0,4093.0,4110.0
2023-01-10,4100.0,4104.0,4063.5,4079.0
2023-01-11,4079.5,4099.0,4065.5,4090.5
2023-01-12,4091.0,4094.0,4071.0,4078.5
2023-01-13,4079.0,4090.0,4068.0,4074.0
2023-01-16,4078.5,4096.5,4045.0,4052.0
2023-01-17,4054.0,4060.5,4015.0,4025.0
2023-01-18,4038.0,4049.0,4012.0,4021.0
2023-01-19,4019.5,4020.0,3974.0,3981.0
2023-01-20,3983.5,3995.0,3925.0,3944.0
2023-01-23,3950.0,3979.5,3944.5,3972.5
2023-01-24,3986.0,3990.0,3930.5,3942.5
2023-01-25,3945.5,3960.0,3900.5,3923.5
2023-01-26,3924.0,3935.0,3901.5,3911.0
2023-01-27,3911.0,3920.0,3892.5,3917.0
2023-01-30,3929.0,3954.0,3917.0,3947.5
2023-01-31,3947.5,3972.5,3925.5,3955.0
2023-02-01,3959.5,3989.0,3935.0,3955.5
2023-02-02,3955.5,3960.0,3900.5,3918.5
2023-02-03,3917.5,3920.0,3880.0,3907.5
2023-02-06,3910.0,3946.5,3902.0,3941.0
2023-02-07,3951.0,3977.0,3931.0,3968.0
2023-02-08,3978.0,3998.5,3903.0,3930.5
2023-02-09,3949.0,3960.0,3907.5,3914.0
2023-02-10,3915.0,3969.5,3903.5,3921.5
2023-02-13,3940.0,3948.0,3911.0,3928.5
2023-02-14,3930.0,3937.0,3905.0,3914.5
2023-02-15,3903.0,3906.0,3800.0,3829.0
2023-02-16,3840.0,3873.5,3811.5,3830.0
2023-02-17,3829.0,3860.0,3802.5,3840.0
2023-02-20,3846.0,3927.5,3804.0,3905.0
2023-02-21,3912.0,3950.0,3901.5,3914.5
2023-02-22,3915.5,3925.0,3873.0,3909.5
2023-02-24,3916.0,3925.0,3880.0,3901.0
2023-02-27,3884.5,3920.0,3881.5,3903.0
2023-02-28,3905.5,4021.0,3903.0,3990.0
2023-03-01,4012.0,4060.0,3978.0,4056.0
2023-03-02,4056.5,4078.0,3966.0,4004.0
2023-03-03,4003.0,4048.0,4001.5,4030.5
2023-03-06,4048.0,4129.0,4045.5,4111.5
2023-03-07,4115.5,4138.0,4090.0,4125.0
2023-03-09,4124.5,4136.0,4099.0,4105.0
2023-03-10,4088.0,4111.0,4035.0,4085.0
2023-03-13,4092.5,4120.0,4039.0,4066.0
2023-03-14,4059.5,4095.0,4044.0,4063.0
2023-03-15,4077.0,4079.0,4009.0,4022.0
2023-03-16,4013.0,4092.0,4011.0,4084.0
2023-03-17,4094.5,4140.0,4073.0,4111.5
2023-03-20,4126.0,4247.5,4090.5,4228.5
2023-03-21,4230.5,4287.5,4167.5,4216.5
2023-03-22,4215.0,4254.0,4184.0,4192.5
2023-03-23,4198.0,4215.0,4159.0,4177.5
2023-03-24,4179.0,4221.0,4158.0,4206.5
2023-03-27,4230.0,4343.5,4217.0,4322.0
2023-03-28,4332.0,4350.5,4271.0,4320.0
2023-03-29,4325.0,4360.0,4294.0,4342.0
2023-03-30,4349.5,4388.5,4320.0,4382.5
2023-03-31,4380.0,4389.0,4280.5,4352.5
2023-04-03,4491.0,4508.5,4422.0,4473.5
2023-04-04,4490.0,4575.5,4476.5,4510.5
2023-04-05,4506.0,4545.0,4460.0,4540.0
2023-04-06,4543.0,4623.5,4475.5,4585.0
2023-04-07,4610.5,4638.5,4520.0,4637.0
2023-04-10,4636.0,4661.0,4620.0,4650.5
2023-04-11,4651.0,4689.0,4575.0,4620.0
2023-04-12,4666.5,4728.5,4630.0,4670.0
2023-04-13,4686.0,4686.0,4590.0,4612.5
2023-04-14,4612.5,4629.0,4553.5,4618.0
2023-04-17,4660.0,4670.0,4629.5,4640.0
2023-04-18,4649.0,4658.0,4583.5,4599.5
2023-04-19,4600.0,4609.5,4528.0,4539.5
2023-04-20,4540.0,4794.5,4462.0,4746.0
2023-04-21,4759.5,4776.5,4711.0,4729.5
2023-04-24,4728.0,4750.0,4692.5,4710.5
2023-04-25,4713.0,4720.0,4678.0,4689.0
2023-04-26,4695.0,4706.0,4627.5,4659.0
2023-04-27,4661.0,4710.5,4655.0,4700.0
2023-04-28,4708.5,4710.0,4641.5,4674.5
2023-05-02,4680.0,4705.0,4552.0,4581.0
2023-05-03,4580.5,4638.0,4491.0,4508.5
2023-05-04,4522.0,4564.5,4512.5,4547.5
2023-05-05,4547.5,4557.5,4501.5,4509.0
2023-05-08,4525.0,4599.5,4517.5,4564.5
2023-05-10,4560.0,4716.0,4559.0,4716.0
2023-05-11,4725.0,4849.5,4681.0,4788.5
2023-05-12,4800.5,4842.5,4751.0,4819.0
2023-05-15,4840.0,5055.0,4838.0,5045.5
2023-05-16,5065.0,5120.0,5020.5,5086.0
2023-05-17,5094.5,5120.0,5060.5,5097.0
2023-05-18,5111.0,5120.0,5070.0,5075.0
2023-05-19,5070.0,5078.5,5013.0,5078.5
2023-05-22,5110.5,5116.0,5057.0,5090.0
2023-05-23,5094.0,5174.0,5065.0,5173.0
2023-05-24,5183.0,5215.0,5142.0,5192.0
2023-05-25,5197.0,5209.0,5160.5,5203.5
2023-05-26,5206.0,5298.5,5203.0,5296.5
